"year","county","municip_number","municip_name","total_mcp_area","sea_mcp_area","prod_area_id","prod_area_name","feed_consumption_kg"
2008,"NORDLAND","1841","c(\Fauske\, \Fuossko\)",1293.965081,96.99544864,8,"Helgeland - Bodø",1326766
2008,"NORDLAND","1845","Sørfold",1829.725893,192.322705,9,"Vestfjorden - Vesterålen",11642144
2008,"NORDLAND","1848","Steigen",3484.477675,2475.231549,9,"Vestfjorden - Vesterålen",16507492
2008,"NORDLAND","1849","c(\Hamarøy\, \Hábmer\)",1562.514447,528.9225273,9,"Vestfjorden - Vesterålen",1795462
2008,"NORDLAND","1850","c(\Tysfjord\, \Divtasvuodna\)",1929.019449,465.2612621,9,"Vestfjorden - Vesterålen",4702270
2008,"NORDLAND","1851","Lødingen",1043.931094,516.5166935,9,"Vestfjorden - Vesterålen",9840070
2008,"NORDLAND","1852","Tjeldsund",444.826713,125.4910974,9,"Vestfjorden - Vesterålen",556550
2008,"NORDLAND","1854","Ballangen",1193.130637,260.9146791,9,"Vestfjorden - Vesterålen",1075788
2008,"NORDLAND","1859","Flakstad",1172.39812,994.0116752,9,"Vestfjorden - Vesterålen",2950300
2008,"NORDLAND","1860","Vestvågøy",2109.641746,1685.080756,9,"Vestfjorden - Vesterålen",4934150
2008,"NORDLAND","1865","Vågan",2087.475486,1608.301755,9,"Vestfjorden - Vesterålen",13981797
2008,"NORDLAND","1866","Hadsel",1184.413105,617.8636024,9,"Vestfjorden - Vesterålen",5495530
2008,"NORDLAND","1867","Bø",1825.744963,1579.045433,9,"Vestfjorden - Vesterålen",7198597
2008,"NORDLAND","1868","Øksnes",1815.174302,1495.658041,9,"Vestfjorden - Vesterålen",10799857
2008,"NORDLAND","1870","c(\Sortland\, \Suortá\)",1093.027537,371.1023103,9,"Vestfjorden - Vesterålen",2302037
2008,"TROMS","1902","Tromsø",5287.925885,2766.720443,11,"Kvaløya - Loppa",7405534
2008,"TROMS","1903","c(\Harstad\, \Hárstták\)",1520.380415,1075.169085,10,"Andfjorden - Senja",7273457
2008,"TROMS","1911","Kvæfjord",701.6211827,189.007727,10,"Andfjorden - Senja",7996891
2008,"TROMS","1913","Skånland",580.7459162,85.75053965,10,"Andfjorden - Senja",4050394
2008,"TROMS","1917","Ibestad",592.7193788,351.6502163,10,"Andfjorden - Senja",7472909
2008,"TROMS","1919","Gratangen",374.6671877,61.92678047,10,"Andfjorden - Senja",617259
2008,"TROMS","1920","c(\Lavangen\, \Loabák\)",324.5644227,22.93030318,10,"Andfjorden - Senja",3869972
2008,"TROMS","1926","Dyrøy",469.7496123,181.2083648,10,"Andfjorden - Senja",10971273
2008,"TROMS","1927","Tranøy",938.4325924,414.5371515,10,"Andfjorden - Senja",3475452
2008,"TROMS","1928","Torsken",1076.107235,832.6831727,10,"Andfjorden - Senja",11313569
2008,"TROMS","1929","Berg",1130.553961,836.6595009,10,"Andfjorden - Senja",2245550
2008,"TROMS","1931","Lenvik",1586.547758,693.9699618,10,"Andfjorden - Senja",5516555
2008,"TROMS","1936","Karlsøy",5888.348538,4796.755739,11,"Kvaløya - Loppa",9703917
2008,"TROMS","1938","Lyngen",1299.636265,487.0741668,11,"Kvaløya - Loppa",1367821
2008,"TROMS","1940","c(\Gáivuotna\, \Kaivuono\, \Kåfjord\)",1115.396129,124.1574503,11,"Kvaløya - Loppa",1584598
2008,"TROMS","1941","Skjervøy",1561.699755,1087.998326,11,"Kvaløya - Loppa",9240092
2008,"TROMS","1942","c(\Nordreisa\, \Raisi\, \Ráisa\)",3681.281994,243.7160763,11,"Kvaløya - Loppa",6873456
2008,"TROMS","1943","Kvænangen",2682.367817,573.0012304,11,"Kvaløya - Loppa",7864161
2008,"FINNMARK","2004","Hammerfest",3227.790475,2379.511674,12,"Vest-Finnmark",13034769
2008,"FINNMARK","2012","Alta",4557.653447,708.1851191,12,"Vest-Finnmark",11850434
2008,"FINNMARK","2014","Loppa",2808.583223,2119.706465,12,"Vest-Finnmark",8978921
2008,"FINNMARK","2017","Kvalsund",2143.724658,299.4380092,12,"Vest-Finnmark",2578180
2008,"FINNMARK","2019","Nordkapp",4098.466639,3172.775971,12,"Vest-Finnmark",3824147
2008,"FINNMARK","2027","c(\Nesseby\, \Unjárga\)",1637.385897,200.4975472,13,"Øst-Finnmark",2029287
2008,"FINNMARK","2030","Sør-Varanger",5106.983189,1135.686092,13,"Øst-Finnmark",3787647
2008,"ROGALAND OG AGDER","0926","Lillesand",850.7528011,660.3214617,1,"Svenskegrensen - Jæren",765460
2009,"ROGALAND OG AGDER","1004","Flekkefjord",859.7897118,315.7247669,1,"Svenskegrensen - Jæren",14370983
2009,"ROGALAND OG AGDER","1102","Sandnes",354.2062791,50.16293802,2,"Ryfylke",4776329
2009,"ROGALAND OG AGDER","1106","Haugesund",365.6018361,292.9220733,3,"Karmøy - Sotra",3691981
2009,"ROGALAND OG AGDER","1102","Sandnes",354.2062791,50.16293802,2,"Ryfylke",28368
2009,"ROGALAND OG AGDER","1122","Gjesdal",626.4959988,8.515393126,2,"Ryfylke",613689
2009,"ROGALAND OG AGDER","1129","Forsand",846.3640797,66.30523597,2,"Ryfylke",766813
2009,"ROGALAND OG AGDER","1130","Strand",332.6055776,114.4613977,2,"Ryfylke",1396200
2009,"ROGALAND OG AGDER","1133","Hjelmeland",1195.202576,106.3627705,2,"Ryfylke",10219543
2009,"ROGALAND OG AGDER","1134","Suldal",1909.018247,172.3661785,2,"Ryfylke",6990159
2009,"ROGALAND OG AGDER","1141","Finnøy",388.3073287,283.9151293,2,"Ryfylke",24931399
2009,"ROGALAND OG AGDER","1142","Rennesøy",215.3021677,149.7881054,2,"Ryfylke",5056768
2009,"ROGALAND OG AGDER","1144","Kvitsøy",362.4412368,356.1550285,2,"Ryfylke",1411605
2009,"ROGALAND OG AGDER","1145","Bokn",188.6204715,141.4520961,2,"Ryfylke",5975378
2009,"ROGALAND OG AGDER","1146","Tysvær",635.7009671,210.2175249,2,"Ryfylke",10050603
2009,"ROGALAND OG AGDER","1149","Karmøy",1347.71291,1117.755891,3,"Karmøy - Sotra",4464398
2009,"ROGALAND OG AGDER","1160","Vindafjord",765.0393543,144.4528759,3,"Karmøy - Sotra",3137126
2009,"HORDALAND","1211","Etne",813.6223475,78.34093032,3,"Karmøy - Sotra",6798785
2009,"HORDALAND","1216","Sveio",373.9963504,127.8434417,3,"Karmøy - Sotra",12078175
2009,"HORDALAND","1219","Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra",14686419
2009,"HORDALAND","1221","Stord",225.8352936,82.10288014,3,"Karmøy - Sotra",2204301
2009,"HORDALAND","1222","Fitjar",240.604969,98.14389542,3,"Karmøy - Sotra",5497199
2009,"HORDALAND","1223","Tysnes",482.4829466,227.3679339,3,"Karmøy - Sotra",24369753
2009,"HORDALAND","1224","Kvinnherad",1505.831668,415.085879,3,"Karmøy - Sotra",43046554
2009,"HORDALAND","1227","Jondal",330.9853245,83.91339296,3,"Karmøy - Sotra",4482693
2009,"HORDALAND","1238","Kvam",762.0051348,145.0727491,3,"Karmøy - Sotra",13752721
2009,"HORDALAND","1241","Fusa",507.0776654,129.2463033,3,"Karmøy - Sotra",16656537
2009,"HORDALAND","1242","Samnanger",290.0844722,21.0179771,3,"Karmøy - Sotra",1421541
2009,"HORDALAND","1243","Os",245.5334546,105.9583688,3,"Karmøy - Sotra",965029
2009,"HORDALAND","1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra",26487329
2009,"HORDALAND","1245","Sund",564.9350737,465.3951173,3,"Karmøy - Sotra",5143294
2009,"HORDALAND","1246","Fjell",768.9276823,620.7603078,3,"Karmøy - Sotra",5629867
2009,"HORDALAND","1247","Askøy",219.6391485,118.5156823,4,"Sotra - Stadt",4557800
2009,"HORDALAND","1253","Osterøy",311.6455974,56.5278112,4,"Sotra - Stadt",17357963
2009,"HORDALAND","1256","Meland",130.5215556,37.93871393,4,"Sotra - Stadt",2738545
2009,"HORDALAND","1259","Øygarden",985.9432893,919.148288,4,"Sotra - Stadt",10802767
2009,"HORDALAND","1260","Radøy",209.7977221,98.34900146,4,"Sotra - Stadt",8927351
2009,"HORDALAND","1263","Lindås",637.0389369,162.042687,4,"Sotra - Stadt",7067287
2009,"HORDALAND","1264","Austrheim",161.9491533,104.393437,4,"Sotra - Stadt",1314027
2009,"HORDALAND","1266","Masfjorden",641.7115291,85.64212657,4,"Sotra - Stadt",323068
2009,"SOGN OG FJORDANE","1401","Flora",2140.216593,1447.185281,4,"Sotra - Stadt",17469209
2009,"SOGN OG FJORDANE","1411","Gulen",983.1503441,385.9427734,4,"Sotra - Stadt",19109096
2009,"SOGN OG FJORDANE","1412","Solund",1747.705205,1519.458615,4,"Sotra - Stadt",11744036
2009,"SOGN OG FJORDANE","1413","Hyllestad",384.2061598,125.3011533,4,"Sotra - Stadt",12879377
2009,"SOGN OG FJORDANE","1416","Høyanger",1117.215544,209.0251517,4,"Sotra - Stadt",6062083
2009,"SOGN OG FJORDANE","1428","Askvoll",1588.603941,1262.43025,4,"Sotra - Stadt",8216498
2009,"SOGN OG FJORDANE","1429","Fjaler",488.1563815,71.53865419,4,"Sotra - Stadt",6853816
2009,"SOGN OG FJORDANE","1438","Bremanger",1931.69721,1098.600948,4,"Sotra - Stadt",13368771
2009,"SOGN OG FJORDANE","1439","Vågsøy",820.8877962,644.1892052,4,"Sotra - Stadt",6327371
2009,"SOGN OG FJORDANE","1441","Selje",1041.307731,815.1905357,4,"Sotra - Stadt",8781919
2009,"SOGN OG FJORDANE","1445","Gloppen",1095.283335,64.71387848,4,"Sotra - Stadt",460239
2009,"MØRE OG ROMSDAL","1505","Kristiansund",669.4597917,582.0243919,6,"Nordmøre - Sør-Trøndelag",10512429
2009,"MØRE OG ROMSDAL","1502","Molde",585.0810002,222.447664,5,"Stad - Hustadvika",1623555
2009,"MØRE OG ROMSDAL","1529","Skodje",156.8868977,36.85781839,5,"Stad - Hustadvika",1547619
2009,"MØRE OG ROMSDAL","1511","Vanylven",483.5926223,98.374729,5,"Stad - Hustadvika",6920692
2009,"MØRE OG ROMSDAL","1514","Sande",458.0518878,364.8451659,5,"Stad - Hustadvika",2796647
2009,"MØRE OG ROMSDAL","1515","Herøy",1193.288082,1073.763572,5,"Stad - Hustadvika",4814705
2009,"MØRE OG ROMSDAL","1519","Volda",656.4932671,109.2593826,5,"Stad - Hustadvika",4189191
2009,"MØRE OG ROMSDAL","1520","Ørsta",943.5737474,139.138279,5,"Stad - Hustadvika",8017330
2009,"MØRE OG ROMSDAL","1524","Norddal",986.6701771,43.15651477,5,"Stad - Hustadvika",463475
2009,"MØRE OG ROMSDAL","1525","Stranda",944.3724368,78.50341444,5,"Stad - Hustadvika",4415199
2009,"MØRE OG ROMSDAL","1528","Sykkylven",400.5986337,62.80058497,5,"Stad - Hustadvika",3844972
2009,"MØRE OG ROMSDAL","1529","Skodje",156.8868977,36.85781839,5,"Stad - Hustadvika",498686
2009,"MØRE OG ROMSDAL","1532","Giske",907.7717564,867.2287433,5,"Stad - Hustadvika",2998059
2009,"MØRE OG ROMSDAL","1534","Haram",1063.325832,802.1936015,5,"Stad - Hustadvika",1448713
2009,"MØRE OG ROMSDAL","1535","Vestnes",466.4075422,114.7066027,5,"Stad - Hustadvika",3793681
2009,"MØRE OG ROMSDAL","1539","Rauma",1635.105545,132.9582198,5,"Stad - Hustadvika",6161676
2009,"MØRE OG ROMSDAL","1543","Nesset",1131.560319,85.48888667,5,"Stad - Hustadvika",114500
2009,"MØRE OG ROMSDAL","1545","Midsund",275.1037587,180.4542533,5,"Stad - Hustadvika",1868000
2009,"MØRE OG ROMSDAL","1547","Aukra",461.7591187,402.6819283,5,"Stad - Hustadvika",3856014
2009,"MØRE OG ROMSDAL","1548","Fræna",1123.537617,753.7385211,5,"Stad - Hustadvika",3335160
2009,"MØRE OG ROMSDAL","1551","Eide",445.1395783,293.0397792,6,"Nordmøre - Sør-Trøndelag",7000
2009,"MØRE OG ROMSDAL","1554","Averøy",718.5878787,542.9088935,6,"Nordmøre - Sør-Trøndelag",10707558
2009,"MØRE OG ROMSDAL","1557","Gjemnes",470.6056636,88.97445949,6,"Nordmøre - Sør-Trøndelag",2644129
2009,"MØRE OG ROMSDAL","1560","Tingvoll",504.8050354,167.995332,6,"Nordmøre - Sør-Trøndelag",9977029
2009,"MØRE OG ROMSDAL","1563","Sunndal",1799.591061,86.22058664,6,"Nordmøre - Sør-Trøndelag",4665
2009,"MØRE OG ROMSDAL","1571","Halsa",383.3083884,82.7797689,6,"Nordmøre - Sør-Trøndelag",12078560
2009,"MØRE OG ROMSDAL","1573","Smøla",2154.4903,1882.580854,6,"Nordmøre - Sør-Trøndelag",756707
2009,"MØRE OG ROMSDAL","1576","Aure",1048.31036,406.9303226,6,"Nordmøre - Sør-Trøndelag",16098758
2009,"MØRE OG ROMSDAL","1519","Volda",656.4932671,109.2593826,5,"Stad - Hustadvika",3333043
2009,"MØRE OG ROMSDAL","1524","Norddal",986.6701771,43.15651477,5,"Stad - Hustadvika",1546233
2009,"NORDLAND","1804","Bodø",4826.69546,3431.421782,9,"Vestfjorden - Vesterålen",134383
2009,"NORDLAND","1850","c(\Tysfjord\, \Divtasvuodna\)",1929.019449,465.2612621,9,"Vestfjorden - Vesterålen",727804
2009,"NORDLAND","1811","Bindal",1905.535218,641.2837483,7,"Nord-Trøndelag - Bindal",6486560
2009,"NORDLAND","1812","Sømna",790.0974216,594.8391077,8,"Helgeland - Bodø",10336393
2009,"NORDLAND","1813","Brønnøy",2099.156683,1052.809515,8,"Helgeland - Bodø",7230474
2009,"NORDLAND","1815","Vega",2921.376588,2756.590844,8,"Helgeland - Bodø",854000
2009,"NORDLAND","1816","Vevelstad",661.1474773,122.0988447,8,"Helgeland - Bodø",6155000
2009,"NORDLAND","1818","Herøy",2262.099657,2197.637411,8,"Helgeland - Bodø",5630120
2009,"NORDLAND","1820","Alstahaug",585.2205361,397.1046147,8,"Helgeland - Bodø",10947412
2009,"NORDLAND","1824","Vefsn",2030.300385,100.8914234,8,"Helgeland - Bodø",1350000
2009,"NORDLAND","1827","Dønna",759.3091081,567.3688444,8,"Helgeland - Bodø",7831030
2009,"NORDLAND","1828","Nesna",402.8211117,219.6396197,8,"Helgeland - Bodø",1466500
2009,"NORDLAND","1833","Rana",4588.20917,128.0210568,8,"Helgeland - Bodø",3569432
2009,"NORDLAND","1834","Lurøy",1337.693384,1072.508261,8,"Helgeland - Bodø",15830238
2009,"NORDLAND","1835","Træna",1793.812792,1777.298315,8,"Helgeland - Bodø",1834000
2009,"NORDLAND","1836","Rødøy",3103.057128,2391.768309,8,"Helgeland - Bodø",9816321
2009,"NORDLAND","1837","Meløy",2746.283777,1872.455608,8,"Helgeland - Bodø",13328628
2009,"NORDLAND","1838","Gildeskål",1502.253204,837.5510572,8,"Helgeland - Bodø",8012410
2009,"NORDLAND","1840","Saltdal",2245.948768,29.75933009,8,"Helgeland - Bodø",1678200
2009,"NORDLAND","1841","c(\Fauske\, \Fuossko\)",1293.965081,96.99544864,8,"Helgeland - Bodø",3145000
2009,"NORDLAND","1845","Sørfold",1829.725893,192.322705,9,"Vestfjorden - Vesterålen",13623828
2009,"NORDLAND","1848","Steigen",3484.477675,2475.231549,9,"Vestfjorden - Vesterålen",18790675
2009,"NORDLAND","1849","c(\Hamarøy\, \Hábmer\)",1562.514447,528.9225273,9,"Vestfjorden - Vesterålen",891525
2009,"NORDLAND","1850","c(\Tysfjord\, \Divtasvuodna\)",1929.019449,465.2612621,9,"Vestfjorden - Vesterålen",4964387
2009,"NORDLAND","1851","Lødingen",1043.931094,516.5166935,9,"Vestfjorden - Vesterålen",9094282
2009,"NORDLAND","1854","Ballangen",1193.130637,260.9146791,9,"Vestfjorden - Vesterålen",676755
2009,"NORDLAND","1859","Flakstad",1172.39812,994.0116752,9,"Vestfjorden - Vesterålen",2324050
2009,"NORDLAND","1860","Vestvågøy",2109.641746,1685.080756,9,"Vestfjorden - Vesterålen",6505100
2009,"NORDLAND","1865","Vågan",2087.475486,1608.301755,9,"Vestfjorden - Vesterålen",7534630
2009,"NORDLAND","1866","Hadsel",1184.413105,617.8636024,9,"Vestfjorden - Vesterålen",13485331
2009,"NORDLAND","1867","Bø",1825.744963,1579.045433,9,"Vestfjorden - Vesterålen",7835431
2009,"NORDLAND","1868","Øksnes",1815.174302,1495.658041,9,"Vestfjorden - Vesterålen",12746870
2009,"NORDLAND","1870","c(\Sortland\, \Suortá\)",1093.027537,371.1023103,9,"Vestfjorden - Vesterålen",5295257
2009,"TROMS","1902","Tromsø",5287.925885,2766.720443,11,"Kvaløya - Loppa",9457899
2009,"TROMS","1903","c(\Harstad\, \Hárstták\)",1520.380415,1075.169085,10,"Andfjorden - Senja",10320812
2009,"TROMS","1911","Kvæfjord",701.6211827,189.007727,10,"Andfjorden - Senja",13939910
2009,"TROMS","1913","Skånland",580.7459162,85.75053965,10,"Andfjorden - Senja",2248663
2009,"TROMS","1917","Ibestad",592.7193788,351.6502163,10,"Andfjorden - Senja",7412938
2009,"TROMS","1919","Gratangen",374.6671877,61.92678047,10,"Andfjorden - Senja",1811595
2009,"TROMS","1920","c(\Lavangen\, \Loabák\)",324.5644227,22.93030318,10,"Andfjorden - Senja",4268993
2009,"TROMS","1923","Salangen",521.5611242,63.59936295,10,"Andfjorden - Senja",1651556
2009,"TROMS","1926","Dyrøy",469.7496123,181.2083648,10,"Andfjorden - Senja",4423919
2009,"TROMS","1927","Tranøy",938.4325924,414.5371515,10,"Andfjorden - Senja",12749353
2009,"TROMS","1928","Torsken",1076.107235,832.6831727,10,"Andfjorden - Senja",10987380
2009,"TROMS","1929","Berg",1130.553961,836.6595009,10,"Andfjorden - Senja",3082438
2009,"TROMS","1931","Lenvik",1586.547758,693.9699618,10,"Andfjorden - Senja",4865839
2009,"TROMS","1936","Karlsøy",5888.348538,4796.755739,11,"Kvaløya - Loppa",7691306
2009,"TROMS","1938","Lyngen",1299.636265,487.0741668,11,"Kvaløya - Loppa",5379085
2009,"TROMS","1940","c(\Gáivuotna\, \Kaivuono\, \Kåfjord\)",1115.396129,124.1574503,11,"Kvaløya - Loppa",4811655
2009,"TROMS","1941","Skjervøy",1561.699755,1087.998326,11,"Kvaløya - Loppa",6236358
2009,"TROMS","1942","c(\Nordreisa\, \Raisi\, \Ráisa\)",3681.281994,243.7160763,11,"Kvaløya - Loppa",5383919
2009,"TROMS","1943","Kvænangen",2682.367817,573.0012304,11,"Kvaløya - Loppa",5554489
2009,"FINNMARK","2004","Hammerfest",3227.790475,2379.511674,12,"Vest-Finnmark",15294918
2009,"FINNMARK","2012","Alta",4557.653447,708.1851191,12,"Vest-Finnmark",16343378
2009,"FINNMARK","2014","Loppa",2808.583223,2119.706465,12,"Vest-Finnmark",14762235
2009,"FINNMARK","2017","Kvalsund",2143.724658,299.4380092,12,"Vest-Finnmark",1886000
2009,"FINNMARK","2019","Nordkapp",4098.466639,3172.775971,12,"Vest-Finnmark",7145946
2009,"FINNMARK","2022","Lebesby",5729.229931,2269.813387,12,"Vest-Finnmark",341332
2009,"FINNMARK","2027","c(\Nesseby\, \Unjárga\)",1637.385897,200.4975472,13,"Øst-Finnmark",7282220
2009,"FINNMARK","2030","Sør-Varanger",5106.983189,1135.686092,13,"Øst-Finnmark",6258162
2009,"ROGALAND OG AGDER","0926","Lillesand",850.7528011,660.3214617,1,"Svenskegrensen - Jæren",840880
2010,"ROGALAND OG AGDER","1004","Flekkefjord",859.7897118,315.7247669,1,"Svenskegrensen - Jæren",8016984
2010,"ROGALAND OG AGDER","1032","Lyngdal",626.6176617,235.270811,1,"Svenskegrensen - Jæren",186300
2010,"ROGALAND OG AGDER","1102","Sandnes",354.2062791,50.16293802,2,"Ryfylke",1615985
2010,"ROGALAND OG AGDER","1106","Haugesund",365.6018361,292.9220733,3,"Karmøy - Sotra",2436244
2010,"ROGALAND OG AGDER","1102","Sandnes",354.2062791,50.16293802,2,"Ryfylke",10286
2010,"ROGALAND OG AGDER","1122","Gjesdal",626.4959988,8.515393126,2,"Ryfylke",810735
2010,"ROGALAND OG AGDER","1129","Forsand",846.3640797,66.30523597,2,"Ryfylke",131921
2010,"ROGALAND OG AGDER","1130","Strand",332.6055776,114.4613977,2,"Ryfylke",2650842
2010,"ROGALAND OG AGDER","1133","Hjelmeland",1195.202576,106.3627705,2,"Ryfylke",6143702
2010,"ROGALAND OG AGDER","1134","Suldal",1909.018247,172.3661785,2,"Ryfylke",5897404
2010,"ROGALAND OG AGDER","1141","Finnøy",388.3073287,283.9151293,2,"Ryfylke",24616020
2010,"ROGALAND OG AGDER","1142","Rennesøy",215.3021677,149.7881054,2,"Ryfylke",3842404
2010,"ROGALAND OG AGDER","1144","Kvitsøy",362.4412368,356.1550285,2,"Ryfylke",962150
2010,"ROGALAND OG AGDER","1145","Bokn",188.6204715,141.4520961,2,"Ryfylke",5803577
2010,"ROGALAND OG AGDER","1146","Tysvær",635.7009671,210.2175249,2,"Ryfylke",8434421
2010,"ROGALAND OG AGDER","1149","Karmøy",1347.71291,1117.755891,3,"Karmøy - Sotra",4048571
2010,"ROGALAND OG AGDER","1160","Vindafjord",765.0393543,144.4528759,3,"Karmøy - Sotra",7735046
2010,"HORDALAND","1211","Etne",813.6223475,78.34093032,3,"Karmøy - Sotra",4932263
2010,"HORDALAND","1216","Sveio",373.9963504,127.8434417,3,"Karmøy - Sotra",11358313
2010,"HORDALAND","1219","Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra",15341398
2010,"HORDALAND","1221","Stord",225.8352936,82.10288014,3,"Karmøy - Sotra",1405503
2010,"HORDALAND","1222","Fitjar",240.604969,98.14389542,3,"Karmøy - Sotra",10470624
2010,"HORDALAND","1223","Tysnes",482.4829466,227.3679339,3,"Karmøy - Sotra",24286523
2010,"HORDALAND","1224","Kvinnherad",1505.831668,415.085879,3,"Karmøy - Sotra",28838152
2010,"HORDALAND","1227","Jondal",330.9853245,83.91339296,3,"Karmøy - Sotra",10714268
2010,"HORDALAND","1238","Kvam",762.0051348,145.0727491,3,"Karmøy - Sotra",12462336
2010,"HORDALAND","1241","Fusa",507.0776654,129.2463033,3,"Karmøy - Sotra",13576903
2010,"HORDALAND","1242","Samnanger",290.0844722,21.0179771,3,"Karmøy - Sotra",2940448
2010,"HORDALAND","1243","Os",245.5334546,105.9583688,3,"Karmøy - Sotra",5423019
2010,"HORDALAND","1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra",22578831
2010,"HORDALAND","1245","Sund",564.9350737,465.3951173,3,"Karmøy - Sotra",6725199
2010,"HORDALAND","1246","Fjell",768.9276823,620.7603078,3,"Karmøy - Sotra",8020008
2010,"HORDALAND","1247","Askøy",219.6391485,118.5156823,4,"Sotra - Stadt",5968704
2010,"HORDALAND","1253","Osterøy",311.6455974,56.5278112,4,"Sotra - Stadt",14862312
2010,"HORDALAND","1256","Meland",130.5215556,37.93871393,4,"Sotra - Stadt",2383156
2010,"HORDALAND","1259","Øygarden",985.9432893,919.148288,4,"Sotra - Stadt",9905629
2010,"HORDALAND","1260","Radøy",209.7977221,98.34900146,4,"Sotra - Stadt",10321258
2010,"HORDALAND","1263","Lindås",637.0389369,162.042687,4,"Sotra - Stadt",5368928
2010,"HORDALAND","1264","Austrheim",161.9491533,104.393437,4,"Sotra - Stadt",466009
2010,"HORDALAND","1266","Masfjorden",641.7115291,85.64212657,4,"Sotra - Stadt",645806
2010,"SOGN OG FJORDANE","1401","Flora",2140.216593,1447.185281,4,"Sotra - Stadt",11449435
2010,"SOGN OG FJORDANE","1411","Gulen",983.1503441,385.9427734,4,"Sotra - Stadt",18746855
2010,"SOGN OG FJORDANE","1412","Solund",1747.705205,1519.458615,4,"Sotra - Stadt",15286256
2010,"SOGN OG FJORDANE","1413","Hyllestad",384.2061598,125.3011533,4,"Sotra - Stadt",15780637
2010,"SOGN OG FJORDANE","1416","Høyanger",1117.215544,209.0251517,4,"Sotra - Stadt",6641841
2010,"SOGN OG FJORDANE","1428","Askvoll",1588.603941,1262.43025,4,"Sotra - Stadt",14776354
2010,"SOGN OG FJORDANE","1429","Fjaler",488.1563815,71.53865419,4,"Sotra - Stadt",4062772
2010,"SOGN OG FJORDANE","1438","Bremanger",1931.69721,1098.600948,4,"Sotra - Stadt",8350997
2010,"SOGN OG FJORDANE","1439","Vågsøy",820.8877962,644.1892052,4,"Sotra - Stadt",14998660
2010,"SOGN OG FJORDANE","1441","Selje",1041.307731,815.1905357,4,"Sotra - Stadt",3927238
2010,"SOGN OG FJORDANE","1445","Gloppen",1095.283335,64.71387848,4,"Sotra - Stadt",1457715
2010,"MØRE OG ROMSDAL","1505","Kristiansund",669.4597917,582.0243919,6,"Nordmøre - Sør-Trøndelag",11785977
2010,"MØRE OG ROMSDAL","1502","Molde",585.0810002,222.447664,5,"Stad - Hustadvika",3156908
2010,"MØRE OG ROMSDAL","1529","Skodje",156.8868977,36.85781839,5,"Stad - Hustadvika",605900
2010,"MØRE OG ROMSDAL","1511","Vanylven",483.5926223,98.374729,5,"Stad - Hustadvika",9666730
2010,"MØRE OG ROMSDAL","1514","Sande",458.0518878,364.8451659,5,"Stad - Hustadvika",1911762
2010,"MØRE OG ROMSDAL","1515","Herøy",1193.288082,1073.763572,5,"Stad - Hustadvika",1594162
2010,"MØRE OG ROMSDAL","1519","Volda",656.4932671,109.2593826,5,"Stad - Hustadvika",3503585
2010,"MØRE OG ROMSDAL","1520","Ørsta",943.5737474,139.138279,5,"Stad - Hustadvika",7732400
2010,"MØRE OG ROMSDAL","1524","Norddal",986.6701771,43.15651477,5,"Stad - Hustadvika",3444750
2010,"MØRE OG ROMSDAL","1525","Stranda",944.3724368,78.50341444,5,"Stad - Hustadvika",6343223
2010,"MØRE OG ROMSDAL","1528","Sykkylven",400.5986337,62.80058497,5,"Stad - Hustadvika",393000
2010,"MØRE OG ROMSDAL","1529","Skodje",156.8868977,36.85781839,5,"Stad - Hustadvika",505199
2010,"MØRE OG ROMSDAL","1532","Giske",907.7717564,867.2287433,5,"Stad - Hustadvika",10112494
2010,"MØRE OG ROMSDAL","1534","Haram",1063.325832,802.1936015,5,"Stad - Hustadvika",6256161
2010,"MØRE OG ROMSDAL","1535","Vestnes",466.4075422,114.7066027,5,"Stad - Hustadvika",2185125
2010,"MØRE OG ROMSDAL","1539","Rauma",1635.105545,132.9582198,5,"Stad - Hustadvika",6102625
2010,"MØRE OG ROMSDAL","1543","Nesset",1131.560319,85.48888667,5,"Stad - Hustadvika",1904852
2010,"MØRE OG ROMSDAL","1545","Midsund",275.1037587,180.4542533,5,"Stad - Hustadvika",2385156
2010,"MØRE OG ROMSDAL","1547","Aukra",461.7591187,402.6819283,5,"Stad - Hustadvika",2965098
2010,"MØRE OG ROMSDAL","1548","Fræna",1123.537617,753.7385211,5,"Stad - Hustadvika",1692891
2010,"MØRE OG ROMSDAL","1554","Averøy",718.5878787,542.9088935,6,"Nordmøre - Sør-Trøndelag",9038448
2010,"MØRE OG ROMSDAL","1557","Gjemnes",470.6056636,88.97445949,6,"Nordmøre - Sør-Trøndelag",11233759
2010,"MØRE OG ROMSDAL","1560","Tingvoll",504.8050354,167.995332,6,"Nordmøre - Sør-Trøndelag",1811013
2010,"MØRE OG ROMSDAL","1563","Sunndal",1799.591061,86.22058664,6,"Nordmøre - Sør-Trøndelag",5848
2010,"MØRE OG ROMSDAL","1571","Halsa",383.3083884,82.7797689,6,"Nordmøre - Sør-Trøndelag",15141738
2010,"MØRE OG ROMSDAL","1573","Smøla",2154.4903,1882.580854,6,"Nordmøre - Sør-Trøndelag",16813127
2010,"MØRE OG ROMSDAL","1576","Aure",1048.31036,406.9303226,6,"Nordmøre - Sør-Trøndelag",14347787
